diagnostic,specialty
Esguinces y torceduras de dedo(s) de la mano,TRAUMATOLOGIA
Epicondilitis media,TRAUMATOLOGIA
"Coxartrosis primaria, bilateral",TRAUMATOLOGIA
DISCOPATIA,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Lesion del nervio cubital,TRAUMATOLOGIA
Examen medico general,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Otras dorsalgias,TRAUMATOLOGIA
Sindrome del tunel carpiano,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
"Desgarro de meniscos, presente",TRAUMATOLOGIA
Cervicalgia,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
"Deformidad en valgo, no clasificada en otra parte",TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Fracturas de otras partes del femur,TRAUMATOLOGIA
Otros trastornos de los meniscos,TRAUMATOLOGIA
TENDINITIS ROTULIANA,TRAUMATOLOGIA
Derrame articular,TRAUMATOLOGIA
Esguinces y torceduras de dedo(s) de la mano,TRAUMATOLOGIA
"Consulta, no especificada",TRAUMATOLOGIA
Lumbago con ciatica,TRAUMATOLOGIA
Esguinces y torceduras de dedo(s) de la mano,TRAUMATOLOGIA
Otros trastornos de la continuidad del hueso,TRAUMATOLOGIA
Epicondilitis lateral,TRAUMATOLOGIA
Pericoronaritis,TRAUMATOLOGIA
Pie plano congenito,TRAUMATOLOGIA
NUEVA ROTURA DE LIGAMENTO CRUZADO ANTERIOR,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Tenosinovitis de estiloides radial de Quervain,TRAUMATOLOGIA
"Escoliosis, no especificada",TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
"Otros traumatismos especificados de miembro superior, nivel no especificado",TRAUMATOLOGIA
"Dorsalgia, (otras dorsopatias)",TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Pie plano pes planus (adquirido),TRAUMATOLOGIA
ARTRITIS REUMATOIDE,TRAUMATOLOGIA
Luxacion de la rotula,TRAUMATOLOGIA
Asma,TRAUMATOLOGIA
Dolor en miembro,TRAUMATOLOGIA
"Bronquiolitis aguda, no especificada",TRAUMATOLOGIA
Lumbago no especificado,TRAUMATOLOGIA
Fractura a nivel de la muñeca y de la mano,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Pie plano pes planus (adquirido),TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
"Gonartrosis (artrosis de la rodilla) , (artrosis)",TRAUMATOLOGIA
Trastorno de menisco debido a desgarro o lesion antigua,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
"Coxartrosis (artrosis de la cadera) , (artrosis)",TRAUMATOLOGIA
LESION DE PARTES BLANDAS DEL TOBILLO,TRAUMATOLOGIA
Pequeño para la edad gestacional,TRAUMATOLOGIA
Pie plano congenito,TRAUMATOLOGIA
Pie plano pes planus (adquirido),TRAUMATOLOGIA
